,id,name,dist,rad
11,11,2MASS 0036+1821,28.6,0.00089731272
35,35,DEN 0255-4700,16.2,0.00092595036
47,47,2MASS J03552337+1133437,29.8,0.00126005616
49,49,2MASS J04151954−0935066,18.6,0.0009068586
66,66,LSR 0602+3910 [de],34.6,0.00134596908
82,82,DENIS J081730.0-615520,16.1,0.00089731272
95,95,2MASS 0939−2448,17.4,0.0009068586
103,103,2MASS J1047538+212423 [de],34.4,0.00089731272
106,106,DENIS-P J1058.7−1548,49.0,0.000954588
108,108,Cha 110913-773444,163.0,0.0017182584
111,111,2MASS J11145133−2618235,18.2,0.00091640448
114,114,2MASS J11544223-3400390 [de],129.0,0.001431882
115,115,2MASSW J1155395-372735 [de],31.0,0.000954588
119,119,2MASSI J1217110-031113 [de],36.0,0.00089731272
122,122,2M 1237+6526,45.6,0.00089731272
125,125,SDSSp J125453.90-012247.4 [de],38.0,0.00093549624
129,129,SDSSp J132629.82-003831.5 [de],65.0,0.00092595036
130,130,SDSSp J134646.45-003150.4 [de],48.0,0.00089731272
133,133,SDSS J141659.78+500626.4 [de],149.0,0.0009450421200000001
134,134,DENIS-P J142527.97-365023.4 [de],38.0,0.00126005616
138,138,2MASS J14482563+1031590 [de],47.0,0.0009450421200000001
139,139,CFBDSIR 1458+10A,104.0,0.001431882
140,140,CFBDSIR 1458+10B,104.0,0.0012409644000000001
144,144,2MASSW J1506544+132106 [de],46.0,0.0009736797600000001
145,145,2MASS 1507−1627,23.9,0.0009450421200000001
148,148,2MASSW J1515008+484742 [de],34.0,0.0009450421200000001
149,149,2MASSI J1526140+204341 [de],67.0,0.00093549624
150,150,DENIS-P J153941.96-052042.4 [de],51.0,0.000954588
151,151,2MASS J15462718-3325111 [de],37.0,0.00089731272
152,152,2MASSW J1552591+294849 [de],68.0,0.00136506084
153,153,2MASSW J1555157-095605 [de],44.0,0.0009832256400000002
154,154,2MASS J16150413+1340079 [de],48.0,0.00089731272
156,156,2MASS J16262034+3925190 [de],110.0,0.0009832256400000002
157,157,2MASSW J1632291+190441 [de],50.0,0.00092595036
159,159,LSPM J1658+7027 [de],60.0,0.00099277152
164,164,LSR J1835+3259,18.5,0.00102140916
180,180,2MASS J22282889-4310262,35.0,0.00089731272
224,224,WISE 0410+1502,20.0,0.00111686796
228,228,WISE 0458+6434A,35.9,0.0040092696
229,229,WISE 0458+6434B,35.9,0.0036274344
283,283,WISE 1405+5534,25.3,0.00082094568
0,0,Sun,0.000015813,1
1,1,Sirius,0008.6,1.71
2,2,Canopus,0310,71
3,3,Alpha Centauri,0004.4,1.2
4,4,Arcturus,0037,26
5,5,Vega,0025,2.7
6,6,Capella,0043,12
7,7,Rigel,0860,78.9
8,8,Procyon,0011.4,1.9
9,9,Betelgeuse,0640[1],950
10,10,Achernar,0144,9.3
11,11,Hadar,0390,8.6
12,12,Altair,0017,1.8
13,13,Acrux,0320,8.9
14,14,Aldebaran,0065,44
15,15,Antares,0600,680
16,16,Spica,0260,7.47
17,17,Pollux,0034,8.8
18,18,Fomalhaut,0025,1.8
19,19,Deneb,"2,600",203
20,20,Mimosa,0350,8.4
21,21,Regulus,0077,3.1
22,22,Adhara,0430,14
23,23,Shaula,0700,8.8
24,24,Castor,0052,2.4
